id,operand1,operator,operand2,result
1,bmd.distrib,div,EF.inter1.rand,bmd.d.ef1
2,bmd.d.ef1,div,EF.inter2.rand,bmd.d.ef2
3,bmd.d.ef2,div,EF.intra.rand,bmd.d.ef3
4,bmd.d.ef3,mult,ef.chronic.rand,ICED
5,Baby.blanket.rand,mult,Baby.blanket.in.rand,exp1
6,Sippy.cup.(rubber.ring).rand,mult,Sippy.cup.(rubber.ring).in.rand,exp2
7,Sippy.cup.(transparent.cap).rand,mult,Sippy.cup.(transparent.cap).in.rand,exp3
8,Sippy.cup.(spout.cover).rand,mult,Sippy.cup.(spout.cover).in.rand,exp4
9,exp1,sum,exp2,exp12
10,exp12,sum,exp3,exp123
11,exp123,sum,exp4,IEXP
12,ICED,div,IEXP,IMoE
