id,michael,chengfang
1,18.197984,179.7428
2,17.974748,184.0979
3,17.72784,255.2776
4,17.636735,221.8381
5,17.634976,165.4705
6,17.560326,182.7581
7,17.500835,197.4234
8,17.422629,300.7105
9,17.40237,239.9254
10,17.374556,259.7487
11,17.363612,216.5711
12,17.342809,175.6669
13,17.334197,181.6816
14,17.252519,179.2936
15,17.250728,182.5484
16,17.243185,175.8577
17,17.224988,234.3019
18,17.055704,196.3363
19,16.96817,215.9446
20,16.937094,195.1582
21,16.935423,150.5074
22,16.895653,182.0943
23,16.869326,192.0119
24,16.859129,196.2609
25,16.833981,199.0927
26,16.79496,242.5361
27,16.77824,237.8915
28,16.773392,190.2611
29,16.755457,174.0451
30,16.751774,180.6689
31,16.707366,246.7006
32,16.695387,229.9876
33,16.687592,160.8805
34,16.646156,196.7072
35,16.622197,198.5776
36,16.620217,219.9817
37,16.615865,254.5319
38,16.532549,188.0755
39,16.527543,226.062
40,16.518872,196.1003
41,16.510397,194.6167
42,16.504088,209.7181
43,16.478129,206.6644
44,16.475843,255.8482
45,16.474443,207.0248
46,16.465484,168.0471
47,16.45158,190.6493
48,16.424282,236.4713
49,16.408231,247.6658
50,16.402114,159.3888
51,16.384924,178.7202
52,16.36687,239.9192
53,16.343853,167.3578
54,16.331649,181.6014
55,16.330736,174.5986
56,16.324655,174.1514
57,16.31283,170.1446
58,16.29947,221.8138
59,16.2951,199.15
60,16.288096,180.3569
61,16.27781,172.1773
62,16.254792,221.5046
63,16.253662,206.5382
64,16.222116,214.1251
65,16.212742,215.9168
66,16.210747,193.7216
67,16.192822,175.096
68,16.153712,180.1106
69,16.141388,180.8317
70,16.140145,169.4017
71,16.140036,195.9285
72,16.131612,225.5501
73,16.122796,192.1023
74,16.112726,222.6974
75,16.099674,211.6197
76,16.098553,198.6824
77,16.098199,194.4277
78,16.097076,178.4218
79,16.087356,159.8709
80,16.074306,203.2525
81,16.072378,201.141
82,16.068376,198.728
83,16.067606,201.6166
84,16.053401,183.7732
85,16.0513,172.9779
86,16.03117,186.2903
87,16.020764,200.2444
88,16.018307,184.9444
89,16.017588,190.9824
90,16.012054,165.1852
91,16.000689,183.4311
92,15.999582,199.356
93,15.995906,238.6377
94,15.994498,190.0618
95,15.977502,202.2931
96,15.975075,187.2927
97,15.965226,179.3837
98,15.963072,180.2182
99,15.961468,211.8125
100,15.958678,209.6799
101,15.950737,204.1784
102,15.945043,178.0301
103,15.943454,193.3488
104,15.937505,172.718
105,15.936253,211.3802
106,15.924827,211.1231
107,15.921763,186.15
108,15.919599,254.8084
109,15.914967,191.185
110,15.911404,166.4705
111,15.898373,254.5423
112,15.895589,180.0928
113,15.892578,194.0803
114,15.892334,191.7319
115,15.889472,174.0145
116,15.881742,179.1701
117,15.881011,190.0156
118,15.873741,216.5331
119,15.87136,198.7466
120,15.870589,161.6661
121,15.865846,198.8676
122,15.857574,240.8
123,15.855357,183.9383
124,15.855355,219.978
125,15.846805,211.3817
126,15.845932,204.2473
127,15.84475,262.8951
128,15.843836,181.8502
129,15.840315,218.7616
130,15.833844,188.3588
131,15.80478,167.2341
132,15.80149,190.7335
133,15.796559,191.0806
134,15.774817,183.0541
135,15.766025,187.7543
136,15.749076,205.2511
137,15.741423,160.5983
138,15.737676,225.2722
139,15.737259,188.668
140,15.716264,259.2943
141,15.711506,207.9536
142,15.709158,166.2726
143,15.705141,180.0285
144,15.704502,240.1662
145,15.704071,165.4285
146,15.694332,183.3086
147,15.683401,157.0845
148,15.683379,202.7105
149,15.678224,155.2324
150,15.665715,252.9667
151,15.665453,214.6679
152,15.659609,161.363
153,15.657995,164.2525
154,15.657037,202.8889
155,15.652669,290.1572
156,15.652342,192.3758
157,15.651934,241.2957
158,15.649866,189.0974
159,15.646271,194.5989
160,15.643585,210.4808
161,15.642991,179.7552
162,15.642364,192.0061
163,15.632378,249.0865
164,15.629251,192.8482
165,15.622467,186.5474
166,15.620425,172.1221
167,15.612857,186.2471
168,15.611383,152.0145
169,15.607952,210.3981
170,15.606187,219.9498
171,15.605134,187.7145
172,15.603114,214.4249
173,15.599467,200.7639
174,15.595474,175.5602
175,15.594072,205.4543
176,15.588303,204.5193
177,15.582666,229.8749
178,15.572989,218.4196
179,15.5682,188.6149
180,15.567012,204.3917
181,15.565329,216.5965
182,15.562218,198.511
183,15.561452,186.7651
184,15.560107,161.5094
185,15.558298,215.1687
186,15.55228,191.7413
187,15.550647,145.2262
188,15.549648,197.2914
189,15.544044,203.0924
190,15.538533,198.8304
191,15.532351,234.3141
192,15.53068,280.5297
193,15.528257,235.021
194,15.518436,173.6046
195,15.517555,165.9607
196,15.512,218.3714
197,15.508283,181.8437
198,15.504523,185.2071
199,15.498054,157.0198
200,15.493309,181.9735
201,15.489492,181.3241
202,15.48186,204.374
203,15.479834,192.6376
204,15.475291,172.5034
205,15.471225,222.4658
206,15.46877,182.2563
207,15.466817,179.2814
208,15.464947,183.5701
209,15.464432,199.9264
210,15.463781,182.3368
211,15.453393,185.8416
212,15.452433,178.5492
213,15.448749,185.1237
214,15.44794,204.2053
215,15.442904,191.6042
216,15.438683,206.5054
217,15.438486,217.3522
218,15.435458,182.3743
219,15.430866,178.7337
220,15.427875,200.04
221,15.426465,185.6233
222,15.422038,201.736
223,15.419414,203.8425
224,15.415544,204.1532
225,15.409708,176.1684
226,15.409523,153.3922
227,15.406471,198.2244
228,15.40216,184.5689
229,15.40159,160.4262
230,15.397523,192.9819
231,15.394574,188.1468
232,15.393362,178.6188
233,15.390253,218.6581
234,15.386723,180.3786
235,15.384993,178.1395
236,15.384628,286.5094
237,15.383785,225.6417
238,15.382106,202.2709
239,15.380434,183.6004
240,15.378289,178.5194
241,15.370659,172.2533
242,15.36759,196.2364
243,15.36301,225.4166
244,15.352765,171.5036
245,15.349621,232.7323
246,15.343612,271.8563
247,15.343058,251.7504
248,15.338159,199.6836
249,15.332757,174.743
250,15.332354,159.2247
251,15.332281,194.3409
252,15.326088,179.8765
253,15.319652,183.2779
254,15.318355,198.5655
255,15.318253,206.5085
256,15.316686,163.8567
257,15.313063,227.5213
258,15.312067,179.5945
259,15.311657,210.9071
260,15.309817,187.4673
261,15.30808,193.1897
262,15.307891,260.0603
263,15.307359,178.1126
264,15.307132,151.8081
265,15.305752,198.4184
266,15.303019,191.2048
267,15.302131,194.9049
268,15.301253,256.6707
269,15.300707,224.4772
270,15.300562,201.3371
271,15.300199,258.302
272,15.295013,189.0391
273,15.294148,190.3008
274,15.293382,241.4363
275,15.289094,184.7902
276,15.285374,184.9339
277,15.285347,224.7304
278,15.280637,177.8992
279,15.28017,151.5782
280,15.276414,192.7459
281,15.275702,203.392
282,15.274798,167.6976
283,15.274758,178.1644
284,15.274306,188.2104
285,15.27231,176.5714
286,15.270557,210.6493
287,15.269907,185.4731
288,15.268072,175.038
289,15.266325,178.6526
290,15.261345,167.4334
291,15.258706,164.4621
292,15.256513,193.9675
293,15.254792,172.0365
294,15.254475,181.6487
295,15.25101,194.9307
296,15.250969,168.1605
297,15.245779,159.3367
298,15.243244,171.2171
299,15.23062,198.4995
300,15.230315,278.1516
301,15.230168,179.8647
302,15.228724,200.7189
303,15.228662,185.2746
304,15.227229,194.749
305,15.227102,261.0279
306,15.226081,169.2904
307,15.223429,182.0474
308,15.222023,205.4918
309,15.221008,156.661
310,15.218415,194.3368
311,15.214968,174.6369
312,15.213225,197.4294
313,15.21318,323.7023
314,15.211234,200.9069
315,15.211097,203.33
316,15.209012,188.1146
317,15.205429,176.2072
318,15.205393,164.9733
319,15.203562,185.8825
320,15.198747,153.872
321,15.198227,202.5154
322,15.1977,151.1713
