id,NC_mice,NC_rats,MC_mice,MC_rats
1,18.197984,5.483129,18.76569,4.884385
2,17.974748,5.474164,17.616312,4.794378
3,17.72784,5.443131,17.432922,4.791671
4,17.636735,5.410584,17.250416,4.786181
5,17.634976,5.384969,17.184273,4.784716
6,17.560326,5.359401,17.013019,4.777717
7,17.500835,5.351402,16.961629,4.695821
8,17.422629,5.35045,16.935929,4.689463
9,17.40237,5.344483,16.833792,4.680565
10,17.374556,5.340059,16.70676,4.67923
11,17.363612,5.336003,16.692415,4.677603
12,17.342809,5.319104,16.665864,4.670765
13,17.334197,5.301061,16.500944,4.669317
14,17.252519,5.273165,16.325809,4.655802
15,17.250728,5.26792,16.254381,4.647052
16,17.243185,5.245886,16.213184,4.642969
17,17.224988,5.24495,16.13063,4.64002
18,17.055704,5.244165,16.077212,4.630914
19,16.96817,5.242934,16.072196,4.628705
20,16.937094,5.23776,16.054966,4.612969
21,16.935423,5.23365,16.050876,4.610721
22,16.895653,5.230834,15.939193,4.610692
23,16.869326,5.226205,15.939059,4.610614
24,16.859129,5.219342,15.844428,4.606247
25,16.833981,5.21808,15.824481,4.594929
26,16.79496,5.215309,15.803974,4.594365
27,16.77824,5.204656,15.785442,4.589562
28,16.773392,5.203696,15.767145,4.581926
29,16.755457,5.203383,15.748809,4.573107
30,16.751774,5.200696,15.717162,4.572904
31,16.707366,5.19131,15.703495,4.570891
32,16.695387,5.179327,15.701023,4.568084
33,16.687592,5.172237,15.672541,4.564568
34,16.646156,5.168112,15.650332,4.561443
35,16.622197,5.155349,15.639706,4.560459
36,16.620217,5.153789,15.639175,4.554729
37,16.615865,5.148789,15.633384,4.548305
38,16.532549,5.147679,15.625231,4.547275
39,16.527543,5.141746,15.616664,4.543727
40,16.518872,5.134547,15.604059,4.54256
41,16.510397,5.133704,15.591929,4.539617
42,16.504088,5.132979,15.578718,4.537602
43,16.478129,5.130855,15.574265,4.534659
44,16.475843,5.129931,15.570547,4.531849
45,16.474443,5.124742,15.545714,4.529984
46,16.465484,5.118238,15.518679,4.528199
47,16.45158,5.117492,15.499845,4.524413
48,16.424282,5.11744,15.491135,4.523869
49,16.408231,5.116985,15.487582,4.523163
50,16.402114,5.116942,15.484171,4.522898
51,16.384924,5.11564,15.483326,4.519459
52,16.36687,5.114159,15.434474,4.518468
53,16.343853,5.112733,15.430401,4.514032
54,16.331649,5.112676,15.417484,4.512539
55,16.330736,5.109642,15.412454,4.505822
56,16.324655,5.108287,15.411268,4.505605
57,16.31283,5.106053,15.403653,4.504618
58,16.29947,5.100305,15.403276,4.502559
59,16.2951,5.099866,15.395726,4.500285
60,16.288096,5.098477,15.391963,4.497683
61,16.27781,5.098401,15.384296,4.493765
62,16.254792,5.092463,15.382383,4.492679
63,16.253662,5.088912,15.377914,4.488763
64,16.222116,5.084856,15.367895,4.486318
65,16.212742,5.084599,15.362183,4.483715
66,16.210747,5.083229,15.34531,4.482409
67,16.192822,5.081688,15.34423,4.480479
68,16.153712,5.079968,15.339286,4.477779
69,16.141388,5.078421,15.328008,4.474578
70,16.140145,5.078186,15.30811,4.472828
71,16.140036,5.074696,15.306172,4.472147
72,16.131612,5.07257,15.304142,4.472033
73,16.122796,5.064354,15.290756,4.47062
74,16.112726,5.062209,15.28885,4.468845
75,16.099674,5.060617,15.274009,4.466063
76,16.098553,5.059123,15.266979,4.465979
77,16.098199,5.057326,15.251356,4.463071
78,16.097076,5.056086,15.249745,4.459181
79,16.087356,5.055739,15.246973,4.455263
80,16.074306,5.054488,15.246653,4.454861
81,16.072378,5.053,15.238239,4.452577
82,16.068376,5.050657,15.238178,4.452509
83,16.067606,5.049878,15.226971,4.450448
84,16.053401,5.049758,15.222821,4.449555
85,16.0513,5.048548,15.22166,4.449177
86,16.03117,5.048,15.21097,4.448486
87,16.020764,5.045457,15.192159,4.446424
88,16.018307,5.043184,15.182553,4.444408
89,16.017588,5.043166,15.173797,4.44416
90,16.012054,5.042961,15.157929,4.442302
91,16.000689,5.042348,15.147213,4.440101
92,15.999582,5.03954,15.12876,4.438155
93,15.995906,5.039527,15.12835,4.43761
94,15.994498,5.039041,15.127686,4.437053
95,15.977502,5.038949,15.125421,4.435776
96,15.975075,5.038524,15.125106,4.435296
97,15.965226,5.037726,15.120142,4.434957
98,15.963072,5.033562,15.110369,4.433592
99,15.961468,5.031196,15.10602,4.432962
100,15.958678,5.030123,15.094099,4.43281
101,15.950737,5.029138,15.088207,4.428396
102,15.945043,5.028695,15.08165,4.424464
103,15.943454,5.028571,15.077765,4.423873
104,15.937505,5.026588,15.07503,4.423129
105,15.936253,5.025579,15.066123,4.42305
106,15.924827,5.025555,15.065539,4.419704
107,15.921763,5.024929,15.047549,4.419492
108,15.919599,5.024377,15.042327,4.41862
109,15.914967,5.023656,15.039145,4.418522
110,15.911404,5.017174,15.034797,4.416259
111,15.898373,5.016941,15.028026,4.415545
112,15.895589,5.013582,15.026638,4.414691
113,15.892578,5.011945,15.01651,4.414246
114,15.892334,5.011604,15.007946,4.414142
115,15.889472,5.011311,15.007096,4.411202
116,15.881742,5.011269,14.999631,4.409727
117,15.881011,5.010018,14.995292,4.408645
118,15.873741,5.00965,14.992598,4.407513
119,15.87136,5.007481,14.987207,4.407098
120,15.870589,5.007016,14.971359,4.403412
121,15.865846,5.006206,14.970337,4.402492
122,15.857574,5.004093,14.969406,4.401157
123,15.855357,5.003628,14.957183,4.399177
124,15.855355,5.003281,14.955666,4.398534
125,15.846805,4.999636,14.946939,4.397015
126,15.845932,4.997797,14.940283,4.394324
127,15.84475,4.99649,14.931281,4.393921
128,15.843836,4.994218,14.916062,4.392786
129,15.840315,4.994203,14.909093,4.392417
130,15.833844,4.991828,14.897114,4.388609
131,15.80478,4.991751,14.891096,4.385886
132,15.80149,4.990104,14.880394,4.385622
133,15.796559,4.987779,14.87386,4.384797
134,15.774817,4.98673,14.869605,4.383473
135,15.766025,4.985054,14.858611,4.38184
136,15.749076,4.984001,14.853632,4.379848
137,15.741423,4.983662,14.850666,4.378987
138,15.737676,4.983469,14.850438,4.376151
139,15.737259,4.982905,14.8274,4.375314
140,15.716264,4.981986,14.824605,4.37393
141,15.711506,4.981904,14.824436,4.373015
142,15.709158,4.981699,14.820469,4.372593
143,15.705141,4.981469,14.82019,4.372381
144,15.704502,4.981109,14.817376,4.372065
145,15.704071,4.979864,14.81495,4.37191
146,15.694332,4.975762,14.798105,4.371692
147,15.683401,4.975564,14.793005,4.369722
148,15.683379,4.974614,14.791863,4.369069
149,15.678224,4.974473,14.789726,4.366843
150,15.665715,4.97444,14.780199,4.366269
151,15.665453,4.974179,14.777894,4.365834
152,15.659609,4.973337,14.772321,4.364396
153,15.657995,4.973127,14.770597,4.36242
154,15.657037,4.972018,14.76692,4.361801
155,15.652669,4.968116,14.764172,4.361406
156,15.652342,4.96418,14.758385,4.361042
157,15.651934,4.962627,14.745524,4.359502
158,15.649866,4.961595,14.740802,4.359406
159,15.646271,4.960961,14.738226,4.358828
160,15.643585,4.960692,14.735428,4.358053
161,15.642991,4.96058,14.733339,4.358046
162,15.642364,4.959837,14.732059,4.35767
163,15.632378,4.956191,14.723718,4.356449
164,15.629251,4.954963,14.722827,4.355957
165,15.622467,4.95421,14.722109,4.355499
166,15.620425,4.953117,14.718721,4.354345
167,15.612857,4.952891,14.716911,4.354042
168,15.611383,4.952294,14.712865,4.352859
169,15.607952,4.952017,14.712532,4.35107
170,15.606187,4.951691,14.705344,4.348975
171,15.605134,4.951373,14.703908,4.345499
172,15.603114,4.950942,14.70376,4.344151
173,15.599467,4.950476,14.702735,4.342774
174,15.595474,4.949834,14.702214,4.339377
175,15.594072,4.949696,14.693445,4.339307
176,15.588303,4.949173,14.689892,4.339305
177,15.582666,4.948801,14.689712,4.33876
178,15.572989,4.946499,14.688491,4.337263
179,15.5682,4.945209,14.68431,4.337078
180,15.567012,4.944854,14.669492,4.336991
181,15.565329,4.944452,14.668337,4.336972
182,15.562218,4.944125,14.66734,4.336117
183,15.561452,4.943882,14.664343,4.335334
184,15.560107,4.943782,14.662743,4.335254
185,15.558298,4.943707,14.658709,4.334221
186,15.55228,4.942998,14.656995,4.334008
187,15.550647,4.942878,14.649217,4.333578
188,15.549648,4.942666,14.642684,4.331914
189,15.544044,4.941637,14.641267,4.331133
190,15.538533,4.937983,14.636595,4.328883
191,15.532351,4.934792,14.634696,4.32865
192,15.53068,4.932711,14.626515,4.327718
193,15.528257,4.931723,14.615408,4.32718
194,15.518436,4.931505,14.608914,4.326214
195,15.517555,4.931433,14.607656,4.326018
196,15.512,4.930564,14.6027,4.325963
197,15.508283,4.929977,14.598914,4.32523
198,15.504523,4.928397,14.594249,4.324832
199,15.498054,4.928208,14.591544,4.324691
200,15.493309,4.927611,14.586943,4.324656
201,15.489492,4.927027,14.585118,4.324528
202,15.48186,4.926172,14.583859,4.32337
203,15.479834,4.925946,14.582343,4.32277
204,15.475291,4.924662,14.581191,4.321905
205,15.471225,4.924618,14.580425,4.321823
206,15.46877,4.924318,14.57733,4.318388
207,15.466817,4.924258,14.570462,4.318158
208,15.464947,4.922866,14.568092,4.3169
209,15.464432,4.921802,14.560661,4.31388
210,15.463781,4.921733,14.560462,4.312556
211,15.453393,4.921658,14.5574,4.312047
212,15.452433,4.921635,14.554593,4.311895
213,15.448749,4.921519,14.539891,4.311299
214,15.44794,4.921136,14.538897,4.311043
215,15.442904,4.918822,14.538168,4.308697
216,15.438683,4.91819,14.535831,4.30849
217,15.438486,4.918016,14.532415,4.308131
218,15.435458,4.917589,14.530072,4.307432
219,15.430866,4.916134,14.526305,4.307342
220,15.427875,4.916079,14.521932,4.306478
221,15.426465,4.916041,14.514246,4.304889
222,15.422038,4.915827,14.51385,4.303937
223,15.419414,4.915659,14.51353,4.303925
224,15.415544,4.914479,14.512735,4.303124
225,15.409708,4.912858,14.511741,4.301653
226,15.409523,4.910861,14.509379,4.301632
227,15.406471,4.910621,14.5084,4.301535
228,15.40216,4.910228,14.503938,4.301228
229,15.40159,4.910082,14.502594,4.301152
230,15.397523,4.909855,14.501373,4.301118
231,15.394574,4.909159,14.496196,4.300155
232,15.393362,4.907206,14.494405,4.29987
233,15.390253,4.906677,14.491479,4.299199
234,15.386723,4.905017,14.491447,4.298501
235,15.384993,4.90391,14.488142,4.298304
236,15.384628,4.902656,14.48502,4.297916
237,15.383785,4.901563,14.482844,4.297241
238,15.382106,4.901244,14.481074,4.296456
239,15.380434,4.899475,14.467118,4.2958
240,15.378289,4.898645,14.465011,4.295509
241,15.370659,4.898392,14.464011,4.295204
242,15.36759,4.897714,14.462115,4.295004
243,15.36301,4.897491,14.461449,4.294849
244,15.352765,4.896697,14.461298,4.294718
245,15.349621,4.896166,14.460636,4.293715
246,15.343612,4.895915,14.457267,4.291686
247,15.343058,4.895806,14.456811,4.291498
248,15.338159,4.895715,14.456766,4.290065
249,15.332757,4.894441,14.454991,4.289315
250,15.332354,4.893139,14.454006,4.288725
251,15.332281,4.892963,14.449026,4.288141
252,15.326088,4.892895,14.4478,4.288
253,15.319652,4.892693,14.444203,4.287932
254,15.318355,4.892473,14.439787,4.287751
255,15.318253,4.892319,14.438684,4.287628
256,15.316686,4.892131,14.438055,4.286162
257,15.313063,4.891734,14.437177,4.285196
258,15.312067,4.891377,14.436829,4.285105
259,15.311657,4.891254,14.436721,4.284649
