id,operand1,operator,operand2,result
1,bmd.distrib,div,EF.inter.rand,bmd.d.ef
2,bmd.d.ef,div,EF.intra.rand,eff
3,Near.Laser.Ablation.MARINA.Data.rand,div,eff,Risk.Near.Laser.Ablation.MARINA.Data
4,Near.Manufacturer.Manual.Loading.Trays.In.Booth.rand,div,eff,Risk.Near.Manufacturer.Manual.Loading.Trays.In.Booth
5,Near.Manufacturer.Dumping.Into.Mixing.Tank.rand,div,eff,Risk.Near.Manufacturer.Dumping.Into.Mixing.Tank
6,Near.Lab.Transfer.During.Weighing.and.Solution.Prep.rand,div,eff,Risk.Near.Lab.Transfer.During.Weighing.and.Solution.Prep
7,Near.Lab.Creating.Stock.Solutions.Fume.Hood.rand,div,eff,Risk.Near.Lab.Creating.Stock.Solutions.Fume.Hood
8,Near.Dumping.Large.Amount.of.Poweder.In.Vessel.rand,div,eff,Risk.Near.Dumping.Large.Amount.of.Poweder.In.Vessel
9,Near.Bag.Bin.Filling.rand,div,eff,Risk.Near.Bag.Bin.Filling
10,Near.Laser.Ablation.rand,div,eff,Risk.Near.Laser.Ablation
11,Near.Weighing.of.Powder.rand,div,eff,Risk.Near.Weighing.of.Powder
12,Far.Laser.Ablation.MARINA.Data.rand,div,eff,Risk.Far.Laser.Ablation.MARINA.Data
13,Far.Manufacturer.Manual.Loading.Trays.In.Booth.rand,div,eff,Risk.Far.Manufacturer.Manual.Loading.Trays.In.Booth
14,Far.Manufacturer.Dumping.Into.Mixing.Tank.rand,div,eff,Risk.Far.Manufacturer.Dumping.Into.Mixing.Tank
15,Far.Lab.Transfer.During.Weighing.and.Solution.Prep.rand,div,eff,Risk.Far.Lab.Transfer.During.Weighing.and.Solution.Prep
16,Far.Lab.Creating.Stock.Solutions.Fume.Hood.rand,div,eff,Risk.Far.Lab.Creating.Stock.Solutions.Fume.Hood
17,Far.Dumping.Large.Amount.of.Poweder.In.Vessel.rand,div,eff,Risk.Far.Dumping.Large.Amount.of.Poweder.In.Vessel
18,Far.Bag.Bin.Filling.rand,div,eff,Risk.Far.Bag.Bin.Filling
19,Far.Laser.Ablation.rand,div,eff,Risk.Far.Laser.Ablation
20,Far.Weighing.of.Powder.rand,div,eff,Risk.Far.Weighing.of.Powder
