id,name,mu,sigma,dist.type,is.geom,above.threshold
1,EF.inter,1.00E+00,2.7,rlnorm,TRUE,0
2,EF.intra,1.00E+00,2.7,rlnorm,TRUE,0
3,Near.Laser.Ablation.MARINA.Data,1.98E-07,2.69,rlnorm,TRUE,0
4,Near.Manufacturer.Manual.Loading.Trays.In.Booth,2.81E-02,2.69,rlnorm,TRUE,0
5,Near.Manufacturer.Dumping.Into.Mixing.Tank,8.95E-02,2.69,rlnorm,TRUE,0
6,Near.Lab.Transfer.During.Weighing.and.Solution.Prep,7.53E-05,2.69,rlnorm,TRUE,0
7,Near.Lab.Creating.Stock.Solutions.Fume.Hood,1.96E-07,2.69,rlnorm,TRUE,0
8,Near.Dumping.Large.Amount.of.Poweder.In.Vessel,3.58E+00,2.69,rlnorm,TRUE,0
9,Near.Bag.Bin.Filling,8.27E-02,2.69,rlnorm,TRUE,0
10,Near.Laser.Ablation,1.04E-05,2.69,rlnorm,TRUE,0
11,Near.Weighing.of.Powder,1.00E-07,2.69,rlnorm,TRUE,0
12,Far.Laser.Ablation.MARINA.Data,1.00E-07,2.69,rlnorm,TRUE,0
13,Far.Manufacturer.Manual.Loading.Trays.In.Booth,8.90E-03,2.69,rlnorm,TRUE,0
14,Far.Manufacturer.Dumping.Into.Mixing.Tank,2.59E-02,2.69,rlnorm,TRUE,0
15,Far.Lab.Transfer.During.Weighing.and.Solution.Prep,2.17E-05,2.69,rlnorm,TRUE,0
16,Far.Lab.Creating.Stock.Solutions.Fume.Hood,1.00E-07,2.69,rlnorm,TRUE,0
17,Far.Dumping.Large.Amount.of.Poweder.In.Vessel,1.18E+00,2.69,rlnorm,TRUE,0
18,Far.Bag.Bin.Filling,1.60E-02,2.69,rlnorm,TRUE,0
19,Far.Laser.Ablation,2.40E-06,2.69,rlnorm,TRUE,0
20,Far.Weighing.of.Powder,3.00E-08,2.69,rlnorm,TRUE,0
